Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
CAMRAS SCHOOL MERCURY SPILL SITE,3000 N. MANGO AVE.,CHICAGO,IL,60634,COOK,ILN000508570,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508570,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071101770,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH: 
PEOPLES GAS HOUGH PLACE STATION SITE,2500 South Corbett Street,CHICAGO,IL,60608,Cook,,,,,,http://www.epaosc.org/HoughPlace,,,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.8469 -87.6503
O'HARE FIELD JET FUEL RELEASE,10000 W. O'hare Avenue,CHICAGO,IL,60666,COOK COUNTY,,,,,,http://www.epaosc.org/oharejetfuelrelease,,,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:0 0
PEOPLES GAS PITNEY COURT STATION SITE,3052 Pitney Court,CHICAGO,IL,60608,Cook,,,,,,http://www.epaosc.org/PitneyCourt,,,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.8375 -87.6625
DOUBLE A METALS,3321 S PULASKI RD,CHICAGO,IL,60623,COOK,ILD025352139,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507696,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000888861,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.833333 -87.723889
SACRAMENTO CRUSHING CORP,445 N. SACRAMENTO BLVD.,CHICAGO,IL,60612,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:13872",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002390993,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.88928 -87.70148
MARSHALL FARADAY CAMPUS PARK,3300-3312 W 5TH AVE,CHICAGO,IL,60624,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:15744",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::35275,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110027985704,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.87779 -87.70834
WOOD STREET URBAN FARM,5814 S WOOD ST,CHICAGO,IL,60636,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:161521",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39433,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110044961486,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.78792 -87.66927
SANGAMON STREET RIGHT OF WAY,BNSF RIGHT OF WAY ALONG SANGAMON STREET RUNNING FR,CHICAGO,IL,60608,COOK,ILN000505581,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505581,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067038342,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.857963 -87.649817
BRONZEVILLE URBAN DEVELOPMENT,BRONZEVILLE NEIGHBORHOOD OF CHICAGO,CHICAGO,IL,60653,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:145703",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::38852,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110046425481,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.820267 -87.603826
CHINATOWN LIBRARY,2100 S. WENTWORTH AVE,CHICAGO,IL,60616,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:200601",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::40655,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067366861,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.85432 -87.63182
1300 S. KILBOURN AVE TBA,1300 S. KILBOURN AVE,CHICAGO,IL,60623,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:233083",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::41245,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070069177,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.86382 -87.73733
UNITED AIR CLEANERS,9705 COTTAGE GROVE,CHICAGO,IL,60628,COOK,ILD096798210,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0507755,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001821244,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.71805 -87.603608
1800 N SPAULDING AVENUE,1800 N SPAULDING AVE,CHICAGO,IL,60647,COOK,,"https://cimc.epa.gov/ords/cimc/f?p=206:31::::31,0:P31_ID:160801",,,,,https://ordspub.epa.gov/ords/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE::39416,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005814994,https://cimc.epa.gov/ords/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.91364 -87.71016
